Title ="THE FLUX ERR"
Variables=
iter
residual
1.000000e+00 6.343587e-04
2.000000e+00 1.838455e-02
3.000000e+00 4.114812e-03
4.000000e+00 7.182829e-04
5.000000e+00 1.602379e-03
6.000000e+00 2.521055e-03
7.000000e+00 1.653537e-03
8.000000e+00 1.876034e-03
9.000000e+00 1.532517e-03
1.000000e+01 1.932358e-03
1.100000e+01 1.104887e-03
1.200000e+01 2.895658e-04
1.300000e+01 7.689980e-04
1.400000e+01 6.890515e-04
1.500000e+01 5.862733e-04
1.600000e+01 5.892209e-04
1.700000e+01 5.177371e-04
1.800000e+01 4.469673e-04
1.900000e+01 4.749284e-04
2.000000e+01 4.214893e-04
2.100000e+01 5.777238e-04
2.200000e+01 4.638650e-04
2.300000e+01 4.735529e-04
2.400000e+01 7.018835e-04
2.500000e+01 1.064056e-03
2.600000e+01 1.270229e-03
2.700000e+01 1.598949e-03
2.800000e+01 2.816485e-03
2.900000e+01 3.284795e-03
3.000000e+01 3.865648e-03
3.100000e+01 1.550976e-03
3.200000e+01 3.253320e-03
3.300000e+01 6.060712e-03
3.400000e+01 4.735625e-03
3.500000e+01 3.579876e-03
3.600000e+01 4.798491e-03
3.700000e+01 1.444023e-02
3.800000e+01 2.205504e-02
3.900000e+01 3.398654e-02
4.000000e+01 2.517733e-02
4.100000e+01 2.031575e-02
4.200000e+01 3.658819e-02
4.300000e+01 3.746554e-02
4.400000e+01 5.470406e-02
4.500000e+01 6.518131e-02
4.600000e+01 8.687313e-02
4.700000e+01 9.587106e-02
4.800000e+01 1.820724e-01
4.900000e+01 1.164099e-01
5.000000e+01 1.280875e-01
5.100000e+01 2.096538e-01
5.200000e+01 2.403985e-01
5.300000e+01 2.775831e-01
5.400000e+01 5.328683e-01
5.500000e+01 4.074627e-01
5.600000e+01 8.631398e-01
5.700000e+01 1.417250e+00
5.800000e+01 2.046243e+00
5.900000e+01 1.263981e+00
6.000000e+01 1.885271e+00
6.100000e+01 2.789705e+00
6.200000e+01 3.288322e+00
6.300000e+01 2.381739e+00
6.400000e+01 3.936199e+00
6.500000e+01 5.362465e+00
6.600000e+01 7.310255e+00
6.700000e+01 7.519235e+00
6.800000e+01 1.768149e+01
6.900000e+01 1.132931e+01
7.000000e+01 1.620147e+01
7.100000e+01 2.674576e+01
7.200000e+01 3.012413e+01
7.300000e+01 3.877629e+01
7.400000e+01 5.923130e+01
7.500000e+01 6.648277e+01
7.600000e+01 7.454546e+01
7.700000e+01 9.555456e+01
7.800000e+01 9.333099e+01
7.900000e+01 1.245853e+02
8.000000e+01 2.453902e+02
8.100000e+01 2.725471e+02
8.200000e+01 2.406179e+02
8.300000e+01 3.244925e+02
8.400000e+01 5.916758e+02
8.500000e+01 6.194631e+02
8.600000e+01 1.087674e+03
8.700000e+01 9.649694e+02
8.800000e+01 1.094886e+03
8.900000e+01 1.283428e+03
9.000000e+01 2.425705e+03
9.100000e+01 2.569851e+03
9.200000e+01 1.127990e+06
9.300000e+01 1.720710e+08
9.400000e+01 4.342354e+08
9.500000e+01 2.543661e+08
