v1,v2,v3
1,0.75971E+00,-0.13937E+01
10,0.91802E+00,-0.17304E+01
20,0.86629E+00,-0.17577E+01
30,0.71595E+00,-0.18252E+01
40,0.51833E+00,-0.18041E+01
50,0.40031E+00,-0.16357E+01
60,0.36275E+00,-0.14642E+01
70,0.35175E+00,-0.13538E+01
80,0.30628E+00,-0.12389E+01
90,0.24726E+00,-0.12135E+01
100,0.21263E+00,-0.12058E+01
110,0.21165E+00,-0.11213E+01
120,0.11870E+00,-0.69186E+00
130,0.11169E+00,-0.63682E+00
140,0.60154E-01,-0.46189E+00
150,0.38598E-01,-0.41098E+00
160,0.36443E-01,-0.40069E+00
170,0.33623E-01,-0.42692E+00
180,0.34883E-01,-0.46781E+00
190,0.36038E-01,-0.47339E+00
200,0.38242E-01,-0.50865E+00
210,0.38729E-01,-0.53208E+00
220,0.39457E-01,-0.53482E+00
230,0.38283E-01,-0.54624E+00
240,0.36251E-01,-0.55053E+00
250,0.36668E-01,-0.55141E+00
260,0.34337E-01,-0.55159E+00
270,0.32185E-01,-0.55120E+00
280,0.32434E-01,-0.55123E+00
290,0.30845E-01,-0.55238E+00
300,0.29672E-01,-0.55493E+00
310,0.29983E-01,-0.55556E+00
320,0.29277E-01,-0.55881E+00
330,0.28796E-01,-0.56226E+00
340,0.29098E-01,-0.56276E+00
350,0.28871E-01,-0.56620E+00
360,0.28755E-01,-0.56985E+00
370,0.29026E-01,-0.57030E+00
380,0.29051E-01,-0.57389E+00
390,0.29068E-01,-0.57726E+00
400,0.29301E-01,-0.57767E+00
410,0.29362E-01,-0.58063E+00
420,0.29381E-01,-0.58334E+00
430,0.29562E-01,-0.58364E+00
440,0.29602E-01,-0.58604E+00
450,0.29575E-01,-0.58810E+00
460,0.29713E-01,-0.58834E+00
470,0.29703E-01,-0.59022E+00
480,0.29617E-01,-0.59181E+00
490,0.29715E-01,-0.59197E+00
500,0.29628E-01,-0.59338E+00
510,0.29471E-01,-0.59453E+00
520,0.29563E-01,-0.59470E+00
530,0.29398E-01,-0.59564E+00
540,0.29193E-01,-0.59642E+00
550,0.29262E-01,-0.59656E+00
560,0.29072E-01,-0.59724E+00
570,0.28844E-01,-0.59779E+00
580,0.28909E-01,-0.59794E+00
590,0.28703E-01,-0.59845E+00
600,0.28491E-01,-0.59899E+00
610,0.28553E-01,-0.59914E+00
620,0.28579E-01,-0.59923E+00
630,0.28351E-01,-0.59974E+00
640,0.28413E-01,-0.59987E+00
650,0.28232E-01,-0.60038E+00
660,0.28077E-01,-0.60093E+00
670,0.28137E-01,-0.60106E+00
680,0.28005E-01,-0.60162E+00
690,0.27881E-01,-0.60220E+00
700,0.27943E-01,-0.60232E+00
710,0.27849E-01,-0.60286E+00
720,0.27748E-01,-0.60343E+00
730,0.27809E-01,-0.60351E+00
740,0.27737E-01,-0.60408E+00
750,0.27639E-01,-0.60463E+00
760,0.27712E-01,-0.60471E+00
770,0.27644E-01,-0.60528E+00
780,0.27555E-01,-0.60580E+00
790,0.27619E-01,-0.60588E+00
800,0.27551E-01,-0.60642E+00
810,0.27456E-01,-0.60688E+00
820,0.27513E-01,-0.60693E+00
830,0.27444E-01,-0.60745E+00
840,0.27343E-01,-0.60786E+00
850,0.27402E-01,-0.60791E+00
860,0.27323E-01,-0.60836E+00
870,0.27217E-01,-0.60873E+00
880,0.27277E-01,-0.60878E+00
890,0.27193E-01,-0.60914E+00
900,0.27104E-01,-0.60949E+00
910,0.27153E-01,-0.60953E+00
920,0.27089E-01,-0.60986E+00
930,0.27002E-01,-0.61018E+00
940,0.27048E-01,-0.61022E+00
950,0.27003E-01,-0.61054E+00
960,0.26933E-01,-0.61086E+00
970,0.26975E-01,-0.61090E+00
980,0.26956E-01,-0.61119E+00
990,0.26900E-01,-0.61155E+00
1000,0.26930E-01,-0.61155E+00
1010,0.26940E-01,-0.61191E+00
1020,0.26886E-01,-0.61228E+00
1030,0.26923E-01,-0.61228E+00
1040,0.26932E-01,-0.61261E+00
1050,0.26885E-01,-0.61299E+00
1060,0.26922E-01,-0.61299E+00
1070,0.26915E-01,-0.61327E+00
1080,0.26873E-01,-0.61364E+00
1090,0.26911E-01,-0.61366E+00
1100,0.26900E-01,-0.61394E+00
1110,0.26843E-01,-0.61426E+00
1120,0.26878E-01,-0.61427E+00
1130,0.18798E-01,-0.59106E+00
1140,0.25373E-01,-0.61046E+00
1150,0.26749E-01,-0.61051E+00
1160,0.27615E-01,-0.61486E+00
1170,0.27476E-01,-0.61801E+00
1180,0.27465E-01,-0.61823E+00
1190,0.27163E-01,-0.61929E+00
1200,0.26929E-01,-0.61971E+00
1210,0.26926E-01,-0.61968E+00
1220,0.26751E-01,-0.61978E+00
1230,0.26598E-01,-0.61985E+00
1240,0.26631E-01,-0.61989E+00
1250,0.26525E-01,-0.62001E+00
1260,0.26459E-01,-0.62032E+00
1270,0.26488E-01,-0.62033E+00
1280,0.26440E-01,-0.62055E+00
1290,0.26392E-01,-0.62086E+00
1300,0.26415E-01,-0.62086E+00
1310,0.26384E-01,-0.62109E+00
1320,0.26344E-01,-0.62130E+00
1330,0.26378E-01,-0.62132E+00
1340,0.26346E-01,-0.62152E+00
1350,0.26330E-01,-0.62180E+00
1360,0.26366E-01,-0.62185E+00
1370,0.26351E-01,-0.62206E+00
1380,0.26336E-01,-0.62234E+00
1390,0.26369E-01,-0.62236E+00
1400,0.26353E-01,-0.62259E+00
1410,0.26342E-01,-0.62286E+00
1420,0.26375E-01,-0.62290E+00
1430,0.26356E-01,-0.62314E+00
1440,0.26333E-01,-0.62341E+00
1450,0.26368E-01,-0.62349E+00
1460,0.26346E-01,-0.62368E+00
1470,0.26318E-01,-0.62392E+00
1480,0.26340E-01,-0.62395E+00
1490,0.26326E-01,-0.62416E+00
1500,0.26292E-01,-0.62439E+00
1510,0.26310E-01,-0.62439E+00
1520,0.26293E-01,-0.62460E+00
1530,0.26253E-01,-0.62475E+00
1540,0.26276E-01,-0.62476E+00
1550,0.26257E-01,-0.62494E+00
1560,0.26213E-01,-0.62508E+00
1570,0.26230E-01,-0.62507E+00
1580,0.26213E-01,-0.62521E+00
1590,0.26169E-01,-0.62535E+00
1600,0.26183E-01,-0.62533E+00
1610,0.26177E-01,-0.62549E+00
1620,0.26126E-01,-0.62559E+00
1630,0.26146E-01,-0.62559E+00
1640,0.25965E-01,-0.62330E+00
1650,0.25926E-01,-0.62390E+00
1660,0.25926E-01,-0.62393E+00
1670,0.25968E-01,-0.62456E+00
1680,0.25982E-01,-0.62489E+00
1690,0.25988E-01,-0.62488E+00
1700,0.25999E-01,-0.62503E+00
1710,0.25979E-01,-0.62516E+00
1720,0.25978E-01,-0.62510E+00
1730,0.25978E-01,-0.62518E+00
1740,0.25964E-01,-0.62527E+00
1750,0.25972E-01,-0.62525E+00
1760,0.25970E-01,-0.62530E+00
1770,0.25951E-01,-0.62543E+00
1780,0.25946E-01,-0.62538E+00
1790,0.25963E-01,-0.62546E+00
1800,0.25938E-01,-0.62554E+00
1810,0.25938E-01,-0.62552E+00
1820,0.25952E-01,-0.62562E+00
1830,0.25930E-01,-0.62570E+00
1840,0.25930E-01,-0.62567E+00
1850,0.25939E-01,-0.62575E+00
1860,0.25912E-01,-0.62585E+00
1870,0.25913E-01,-0.62581E+00
1880,0.25926E-01,-0.62586E+00
1890,0.25896E-01,-0.62595E+00
1900,0.25905E-01,-0.62591E+00
1910,0.25897E-01,-0.62593E+00
1920,0.25875E-01,-0.62600E+00
1930,0.25900E-01,-0.62603E+00
1940,0.25869E-01,-0.62601E+00
1950,0.25863E-01,-0.62608E+00
1960,0.25882E-01,-0.62612E+00
1970,0.25856E-01,-0.62609E+00
1980,0.25842E-01,-0.62612E+00
1990,0.25860E-01,-0.62614E+00
