v1,v2,v3
1,0.30976E+00,-0.43783E-01
10,0.45496E+00,-0.63806E-01
20,0.38567E+00,-0.58733E-01
30,0.30744E+00,-0.55003E-01
40,0.26714E+00,-0.53907E-01
50,0.24151E+00,-0.49015E-01
60,0.21491E+00,-0.44534E-01
70,0.19690E+00,-0.43327E-01
80,0.18571E+00,-0.44285E-01
90,0.17603E+00,-0.40566E-01
100,0.16637E+00,-0.37025E-01
110,0.15735E+00,-0.37252E-01
120,0.14837E+00,-0.38479E-01
130,0.14114E+00,-0.40016E-01
140,0.13655E+00,-0.42831E-01
150,0.13441E+00,-0.44840E-01
160,0.13313E+00,-0.45689E-01
170,0.13211E+00,-0.46492E-01
180,0.13114E+00,-0.47565E-01
190,0.13052E+00,-0.48594E-01
200,0.13012E+00,-0.49898E-01
210,0.12958E+00,-0.52272E-01
220,0.12879E+00,-0.55506E-01
230,0.12788E+00,-0.58567E-01
240,0.12699E+00,-0.60374E-01
250,0.12645E+00,-0.60948E-01
260,0.12646E+00,-0.60794E-01
270,0.12693E+00,-0.59746E-01
280,0.12758E+00,-0.58226E-01
290,0.12826E+00,-0.57491E-01
300,0.12878E+00,-0.58081E-01
310,0.12905E+00,-0.59575E-01
320,0.12905E+00,-0.61019E-01
330,0.12886E+00,-0.61664E-01
340,0.12860E+00,-0.61386E-01
350,0.12836E+00,-0.60433E-01
360,0.12816E+00,-0.59569E-01
370,0.12796E+00,-0.59492E-01
380,0.12771E+00,-0.60096E-01
390,0.12740E+00,-0.60918E-01
400,0.12709E+00,-0.61735E-01
410,0.12688E+00,-0.62658E-01
420,0.12673E+00,-0.63640E-01
430,0.12659E+00,-0.64474E-01
440,0.12641E+00,-0.64989E-01
450,0.12623E+00,-0.65220E-01
460,0.12606E+00,-0.65303E-01
470,0.12592E+00,-0.65344E-01
480,0.12577E+00,-0.65391E-01
490,0.12560E+00,-0.65439E-01
500,0.12540E+00,-0.65522E-01
510,0.12522E+00,-0.65699E-01
520,0.12511E+00,-0.65971E-01
530,0.12506E+00,-0.66273E-01
540,0.12505E+00,-0.66569E-01
550,0.12503E+00,-0.66823E-01
560,0.12499E+00,-0.67025E-01
570,0.12492E+00,-0.67184E-01
580,0.12487E+00,-0.67320E-01
590,0.12485E+00,-0.67433E-01
600,0.12485E+00,-0.67528E-01
610,0.12485E+00,-0.67593E-01
620,0.12482E+00,-0.67634E-01
630,0.12474E+00,-0.67652E-01
640,0.12464E+00,-0.67634E-01
650,0.12453E+00,-0.67587E-01
660,0.12443E+00,-0.67522E-01
670,0.12436E+00,-0.67468E-01
680,0.12430E+00,-0.67457E-01
690,0.12426E+00,-0.67504E-01
700,0.12422E+00,-0.67599E-01
710,0.12419E+00,-0.67717E-01
720,0.12413E+00,-0.67829E-01
730,0.12407E+00,-0.67930E-01
740,0.12400E+00,-0.68025E-01
750,0.12393E+00,-0.68125E-01
500,0.12538E+00,-0.65533E-01
510,0.12521E+00,-0.65723E-01
520,0.12510E+00,-0.66001E-01
530,0.12506E+00,-0.66309E-01
540,0.12505E+00,-0.66599E-01
550,0.12503E+00,-0.66847E-01
560,0.12498E+00,-0.67042E-01
570,0.12492E+00,-0.67196E-01
580,0.12487E+00,-0.67332E-01
590,0.12485E+00,-0.67445E-01
600,0.12486E+00,-0.67534E-01
610,0.12485E+00,-0.67599E-01
620,0.12481E+00,-0.67640E-01
630,0.12473E+00,-0.67652E-01
640,0.12463E+00,-0.67634E-01
650,0.12453E+00,-0.67581E-01
660,0.12443E+00,-0.67516E-01
670,0.12435E+00,-0.67463E-01
680,0.12429E+00,-0.67457E-01
690,0.12425E+00,-0.67510E-01
700,0.12422E+00,-0.67610E-01
710,0.12419E+00,-0.67729E-01
720,0.12413E+00,-0.67835E-01
730,0.12406E+00,-0.67936E-01
740,0.12399E+00,-0.68036E-01
750,0.12392E+00,-0.68137E-01
760,0.12386E+00,-0.68232E-01
770,0.12379E+00,-0.68315E-01
780,0.12371E+00,-0.68403E-01
790,0.12362E+00,-0.68486E-01
800,0.12352E+00,-0.68581E-01
810,0.12342E+00,-0.68670E-01
820,0.12333E+00,-0.68764E-01
830,0.12325E+00,-0.68865E-01
840,0.12318E+00,-0.68971E-01
850,0.12312E+00,-0.69084E-01
860,0.12307E+00,-0.69190E-01
870,0.12301E+00,-0.69297E-01
880,0.12295E+00,-0.69397E-01
890,0.12289E+00,-0.69486E-01
900,0.12283E+00,-0.69575E-01
910,0.12276E+00,-0.69658E-01
920,0.12269E+00,-0.69729E-01
930,0.12262E+00,-0.69800E-01
940,0.12254E+00,-0.69859E-01
950,0.12245E+00,-0.69918E-01
960,0.12236E+00,-0.69966E-01
970,0.12227E+00,-0.70013E-01
980,0.12218E+00,-0.70054E-01
990,0.12209E+00,-0.70090E-01
1000,0.12200E+00,-0.70131E-01
1010,0.12192E+00,-0.70167E-01
1020,0.12184E+00,-0.70196E-01
1030,0.12177E+00,-0.70226E-01
1040,0.12169E+00,-0.70250E-01
1050,0.12162E+00,-0.70267E-01
1060,0.12155E+00,-0.70279E-01
1070,0.12148E+00,-0.70291E-01
1080,0.12141E+00,-0.70291E-01
1090,0.12134E+00,-0.70291E-01
1100,0.12127E+00,-0.70285E-01
1110,0.12120E+00,-0.70279E-01
1120,0.12113E+00,-0.70267E-01
1130,0.12106E+00,-0.70255E-01
1140,0.12100E+00,-0.70238E-01
1150,0.12093E+00,-0.70220E-01
1160,0.12087E+00,-0.70202E-01
1170,0.12081E+00,-0.70179E-01
1180,0.12076E+00,-0.70161E-01
1190,0.12071E+00,-0.70131E-01
1200,0.12065E+00,-0.70108E-01
1210,0.12060E+00,-0.70078E-01
1220,0.12056E+00,-0.70042E-01
1230,0.12051E+00,-0.70013E-01
1240,0.12047E+00,-0.69977E-01
1250,0.12042E+00,-0.69936E-01
1260,0.12036E+00,-0.69895E-01
1270,0.12031E+00,-0.69859E-01
1280,0.12026E+00,-0.69818E-01
1290,0.12022E+00,-0.69776E-01
1300,0.12017E+00,-0.69735E-01
1310,0.12012E+00,-0.69693E-01
1320,0.12007E+00,-0.69652E-01
1330,0.12002E+00,-0.69610E-01
1340,0.11997E+00,-0.69569E-01
