v1,v2,v3
1,0.26780E+01,-0.10751E+01
10,0.29532E+01,-0.14771E+01
20,0.24328E+01,-0.14064E+01
30,0.17597E+01,-0.11955E+01
40,0.13004E+01,-0.10084E+01
50,0.10125E+01,-0.88291E+00
60,0.82589E+00,-0.72835E+00
70,0.63783E+00,-0.58585E+00
80,0.46049E+00,-0.50447E+00
90,0.30395E+00,-0.46304E+00
100,0.21012E+00,-0.44224E+00
110,0.20047E+00,-0.43715E+00
120,0.21704E+00,-0.55696E+00
130,0.23735E+00,-0.58467E+00
140,0.26056E+00,-0.65852E+00
150,0.27090E+00,-0.70282E+00
160,0.28063E+00,-0.71334E+00
170,0.27905E+00,-0.73287E+00
180,0.28032E+00,-0.75074E+00
190,0.28696E+00,-0.75432E+00
200,0.29244E+00,-0.77019E+00
210,0.29957E+00,-0.78096E+00
220,0.30487E+00,-0.78331E+00
230,0.30897E+00,-0.78074E+00
240,0.30545E+00,-0.76178E+00
250,0.30795E+00,-0.75922E+00
260,0.29790E+00,-0.72735E+00
270,0.28531E+00,-0.69365E+00
280,0.28649E+00,-0.69039E+00
290,0.27448E+00,-0.66064E+00
300,0.26416E+00,-0.63644E+00
310,0.26461E+00,-0.63361E+00
320,0.25673E+00,-0.61565E+00
330,0.25113E+00,-0.60353E+00
340,0.25153E+00,-0.60187E+00
350,0.24853E+00,-0.59533E+00
360,0.24713E+00,-0.59237E+00
370,0.24765E+00,-0.59177E+00
380,0.24796E+00,-0.59162E+00
390,0.24880E+00,-0.59222E+00
400,0.24947E+00,-0.59221E+00
410,0.25082E+00,-0.59280E+00
420,0.25193E+00,-0.59239E+00
430,0.25253E+00,-0.59236E+00
440,0.25355E+00,-0.59089E+00
450,0.25411E+00,-0.58829E+00
460,0.25453E+00,-0.58809E+00
470,0.25478E+00,-0.58447E+00
480,0.25464E+00,-0.58019E+00
490,0.25487E+00,-0.57978E+00
500,0.25451E+00,-0.57508E+00
510,0.25393E+00,-0.57044E+00
520,0.25406E+00,-0.56995E+00
530,0.25345E+00,-0.56549E+00
540,0.25280E+00,-0.56153E+00
550,0.25289E+00,-0.56110E+00
560,0.25240E+00,-0.55771E+00
570,0.25195E+00,-0.55494E+00
580,0.25207E+00,-0.55463E+00
590,0.25184E+00,-0.55241E+00
600,0.25167E+00,-0.55059E+00
610,0.25180E+00,-0.55040E+00
620,0.25184E+00,-0.55016E+00
630,0.25172E+00,-0.54870E+00
640,0.25184E+00,-0.54852E+00
650,0.25186E+00,-0.54708E+00
660,0.25180E+00,-0.54566E+00
670,0.25193E+00,-0.54549E+00
680,0.25189E+00,-0.54401E+00
690,0.25172E+00,-0.54249E+00
700,0.25187E+00,-0.54231E+00
710,0.25169E+00,-0.54072E+00
720,0.25142E+00,-0.53913E+00
730,0.25155E+00,-0.53896E+00
740,0.25126E+00,-0.53739E+00
750,0.25095E+00,-0.53594E+00
760,0.25107E+00,-0.53578E+00
770,0.25078E+00,-0.53446E+00
780,0.25049E+00,-0.53330E+00
790,0.25058E+00,-0.53317E+00
800,0.25036E+00,-0.53220E+00
810,0.25013E+00,-0.53139E+00
820,0.25022E+00,-0.53130E+00
830,0.25007E+00,-0.53067E+00
840,0.24991E+00,-0.53016E+00
850,0.25001E+00,-0.53009E+00
860,0.24991E+00,-0.52971E+00
870,0.24984E+00,-0.52938E+00
880,0.24993E+00,-0.52934E+00
890,0.24987E+00,-0.52909E+00
900,0.24982E+00,-0.52886E+00
910,0.24991E+00,-0.52883E+00
920,0.24987E+00,-0.52863E+00
930,0.24984E+00,-0.52842E+00
940,0.24991E+00,-0.52841E+00
950,0.24987E+00,-0.52821E+00
960,0.24984E+00,-0.52804E+00
970,0.24991E+00,-0.52802E+00
980,0.24987E+00,-0.52786E+00
990,0.24982E+00,-0.52771E+00
1000,0.24989E+00,-0.52769E+00
1010,0.24985E+00,-0.52756E+00
1020,0.24984E+00,-0.52745E+00
1030,0.24989E+00,-0.52743E+00
1040,0.24987E+00,-0.52736E+00
1050,0.24985E+00,-0.52730E+00
1060,0.24991E+00,-0.52730E+00
1070,0.24991E+00,-0.52726E+00
1080,0.24991E+00,-0.52723E+00
1090,0.24996E+00,-0.52723E+00
1100,0.24996E+00,-0.52721E+00
1110,0.24998E+00,-0.52720E+00
1120,0.25001E+00,-0.52720E+00
1130,0.25003E+00,-0.52720E+00
1140,0.25001E+00,-0.52720E+00
1150,0.25005E+00,-0.52720E+00
1160,0.25005E+00,-0.52719E+00
1170,0.25005E+00,-0.52717E+00
1180,0.25009E+00,-0.52716E+00
1190,0.25011E+00,-0.52715E+00
1200,0.25011E+00,-0.52712E+00
1210,0.25014E+00,-0.52712E+00
1220,0.25014E+00,-0.52710E+00
1230,0.25014E+00,-0.52708E+00
1240,0.25018E+00,-0.52708E+00
1250,0.25018E+00,-0.52706E+00
1260,0.25018E+00,-0.52704E+00
1270,0.25022E+00,-0.52704E+00
1280,0.25022E+00,-0.52702E+00
1290,0.25022E+00,-0.52702E+00
1300,0.25024E+00,-0.52702E+00
1310,0.25026E+00,-0.52701E+00
1320,0.25026E+00,-0.52701E+00
1330,0.25028E+00,-0.52701E+00
1340,0.25028E+00,-0.52701E+00
1350,0.25028E+00,-0.52701E+00
