v1,v2,v3
1,0.13858E+00,0.81039E+00
10,0.16855E+00,0.11077E+01
20,0.16328E+00,0.11623E+01
30,0.15576E+00,0.11793E+01
40,0.14475E+00,0.11802E+01
50,0.12954E+00,0.11669E+01
60,0.11207E+00,0.11421E+01
70,0.95702E-01,0.11106E+01
80,0.82690E-01,0.10557E+01
90,0.75364E-01,0.99939E+00
100,0.72018E-01,0.94672E+00
110,0.70931E-01,0.90999E+00
120,0.63015E-01,0.84368E+00
130,0.62555E-01,0.82399E+00
140,0.55241E-01,0.75774E+00
150,0.49261E-01,0.70577E+00
160,0.49110E-01,0.70107E+00
170,0.45004E-01,0.66339E+00
180,0.42240E-01,0.63940E+00
190,0.42301E-01,0.63817E+00
200,0.40550E-01,0.62717E+00
210,0.39411E-01,0.62611E+00
220,0.39503E-01,0.62601E+00
230,0.38826E-01,0.63043E+00
240,0.38377E-01,0.63820E+00
250,0.38456E-01,0.63845E+00
260,0.38130E-01,0.64662E+00
270,0.37821E-01,0.65546E+00
280,0.37868E-01,0.65571E+00
290,0.37578E-01,0.66337E+00
300,0.37246E-01,0.67031E+00
310,0.37221E-01,0.67046E+00
320,0.36799E-01,0.67551E+00
330,0.36296E-01,0.67940E+00
340,0.36223E-01,0.67917E+00
350,0.35766E-01,0.68107E+00
360,0.35392E-01,0.68201E+00
370,0.35367E-01,0.68160E+00
380,0.34964E-01,0.68110E+00
390,0.34490E-01,0.67978E+00
400,0.34417E-01,0.67930E+00
410,0.33888E-01,0.67796E+00
420,0.33441E-01,0.67749E+00
430,0.33368E-01,0.67737E+00
440,0.33172E-01,0.67819E+00
450,0.33185E-01,0.67991E+00
460,0.33196E-01,0.67989E+00
470,0.33250E-01,0.68194E+00
480,0.33169E-01,0.68282E+00
490,0.33172E-01,0.68264E+00
500,0.32964E-01,0.68148E+00
110,0.70937E-01,0.90999E+00
120,0.63028E-01,0.84382E+00
130,0.62567E-01,0.82415E+00
140,0.55246E-01,0.75781E+00
150,0.49263E-01,0.70577E+00
160,0.49111E-01,0.70105E+00
170,0.45004E-01,0.66339E+00
180,0.42240E-01,0.63938E+00
190,0.42301E-01,0.63815E+00
200,0.40549E-01,0.62715E+00
210,0.39411E-01,0.62609E+00
220,0.39503E-01,0.62599E+00
230,0.38826E-01,0.63042E+00
240,0.38376E-01,0.63819E+00
250,0.38456E-01,0.63844E+00
260,0.38129E-01,0.64660E+00
270,0.37820E-01,0.65544E+00
280,0.37868E-01,0.65569E+00
290,0.37577E-01,0.66333E+00
300,0.37246E-01,0.67028E+00
310,0.37220E-01,0.67044E+00
320,0.36799E-01,0.67549E+00
330,0.36296E-01,0.67939E+00
340,0.36221E-01,0.67914E+00
350,0.35765E-01,0.68105E+00
360,0.35391E-01,0.68198E+00
370,0.35366E-01,0.68158E+00
380,0.34964E-01,0.68108E+00
390,0.34490E-01,0.67974E+00
400,0.34418E-01,0.67928E+00
410,0.33890E-01,0.67792E+00
420,0.33443E-01,0.67746E+00
430,0.33368E-01,0.67732E+00
440,0.33170E-01,0.67814E+00
450,0.33182E-01,0.67985E+00
460,0.33193E-01,0.67983E+00
470,0.33247E-01,0.68189E+00
480,0.33168E-01,0.68278E+00
490,0.33170E-01,0.68260E+00
500,0.32963E-01,0.68146E+00
510,0.32706E-01,0.67871E+00
520,0.32698E-01,0.67824E+00
530,0.32440E-01,0.67419E+00
540,0.32200E-01,0.66958E+00
550,0.32202E-01,0.66903E+00
560,0.32006E-01,0.66440E+00
570,0.31889E-01,0.66080E+00
580,0.31916E-01,0.66046E+00
590,0.31928E-01,0.65878E+00
600,0.32067E-01,0.65910E+00
610,0.32136E-01,0.65937E+00
620,0.32213E-01,0.65972E+00
630,0.32459E-01,0.66171E+00
640,0.32539E-01,0.66212E+00
650,0.32803E-01,0.66389E+00
660,0.33083E-01,0.66539E+00
670,0.33158E-01,0.66560E+00
680,0.33419E-01,0.66630E+00
690,0.33632E-01,0.66587E+00
700,0.33691E-01,0.66574E+00
710,0.33814E-01,0.66369E+00
720,0.33855E-01,0.66015E+00
730,0.33885E-01,0.65965E+00
740,0.33837E-01,0.65485E+00
750,0.33728E-01,0.64945E+00
760,0.33737E-01,0.64878E+00
770,0.33597E-01,0.64356E+00
780,0.33451E-01,0.63890E+00
790,0.33453E-01,0.63833E+00
800,0.33302E-01,0.63433E+00
810,0.33144E-01,0.63085E+00
820,0.33142E-01,0.63045E+00
830,0.32983E-01,0.62747E+00
840,0.32819E-01,0.62490E+00
850,0.32817E-01,0.62465E+00
860,0.32654E-01,0.62238E+00
870,0.32489E-01,0.62040E+00
880,0.32485E-01,0.62022E+00
890,0.32331E-01,0.61852E+00
900,0.32187E-01,0.61715E+00
910,0.32186E-01,0.61706E+00
920,0.32061E-01,0.61599E+00
930,0.31950E-01,0.61522E+00
940,0.31949E-01,0.61522E+00
950,0.31850E-01,0.61468E+00
960,0.31764E-01,0.61445E+00
970,0.31764E-01,0.61449E+00
980,0.31691E-01,0.61449E+00
990,0.31635E-01,0.61483E+00
1000,0.31635E-01,0.61491E+00
1010,0.31596E-01,0.61554E+00
1020,0.35388E-01,0.61350E+00
1030,0.35304E-01,0.61443E+00
1040,0.41885E-01,0.61386E+00
1050,0.49158E-01,0.60886E+00
1060,0.51150E-01,0.60688E+00
1070,0.54758E-01,0.60793E+00
1080,0.54458E-01,0.61068E+00
1090,0.54133E-01,0.61104E+00
1100,0.53206E-01,0.61375E+00
1110,0.52519E-01,0.61672E+00
1120,0.52452E-01,0.61695E+00
1130,0.52428E-01,0.61740E+00
1140,0.52158E-01,0.62047E+00
1150,0.52099E-01,0.62074E+00
1160,0.52137E-01,0.62334E+00
1170,0.52388E-01,0.62581E+00
1180,0.52430E-01,0.62613E+00
1190,0.52727E-01,0.62838E+00
1200,0.53003E-01,0.63054E+00
1210,0.53035E-01,0.63079E+00
1220,0.53262E-01,0.63281E+00
1230,0.53458E-01,0.63477E+00
1240,0.53479E-01,0.63497E+00
1250,0.53648E-01,0.63685E+00
1260,0.53812E-01,0.63863E+00
1270,0.53833E-01,0.63881E+00
1280,0.53999E-01,0.64040E+00
1290,0.54170E-01,0.64174E+00
1300,0.54196E-01,0.64185E+00
1310,0.54373E-01,0.64288E+00
1320,0.54556E-01,0.64361E+00
1330,0.54586E-01,0.64365E+00
1340,0.54774E-01,0.64413E+00
1350,0.54969E-01,0.64444E+00
1360,0.55001E-01,0.64442E+00
1370,0.55201E-01,0.64462E+00
1380,0.55406E-01,0.64474E+00
1390,0.55439E-01,0.64470E+00
1400,0.55644E-01,0.64479E+00
1410,0.55844E-01,0.64485E+00
1420,0.55876E-01,0.64479E+00
1430,0.56065E-01,0.64479E+00
1440,0.56237E-01,0.64474E+00
1450,0.56266E-01,0.64469E+00
1460,0.56412E-01,0.64456E+00
1470,0.56530E-01,0.64433E+00
1480,0.56553E-01,0.64426E+00
1490,0.56638E-01,0.64394E+00
1500,0.56688E-01,0.64354E+00
1510,0.56703E-01,0.64345E+00
1520,0.58720E-01,0.64213E+00
1530,0.59724E-01,0.64120E+00
1540,0.59851E-01,0.64110E+00
1550,0.60090E-01,0.64040E+00
1560,0.59838E-01,0.64011E+00
1570,0.59828E-01,0.64019E+00
1580,0.59389E-01,0.63994E+00
1590,0.59008E-01,0.63994E+00
1600,0.58977E-01,0.63994E+00
1610,0.58719E-01,0.64017E+00
1620,0.58537E-01,0.64058E+00
1630,0.58527E-01,0.64065E+00
1640,0.58508E-01,0.64074E+00
1650,0.58371E-01,0.64140E+00
1660,0.58366E-01,0.64149E+00
1670,0.58260E-01,0.64217E+00
1680,0.58152E-01,0.64290E+00
1690,0.58146E-01,0.64301E+00
1700,0.58035E-01,0.64378E+00
1710,0.57918E-01,0.64453E+00
1720,0.57909E-01,0.64465E+00
1730,0.57793E-01,0.64533E+00
1740,0.57677E-01,0.64590E+00
1750,0.57669E-01,0.64601E+00
1760,0.57563E-01,0.64644E+00
1770,0.57465E-01,0.64676E+00
1780,0.57459E-01,0.64683E+00
1790,0.57380E-01,0.64701E+00
1800,0.57318E-01,0.64712E+00
1810,0.57318E-01,0.64715E+00
1820,0.57280E-01,0.64719E+00
1830,0.57264E-01,0.64719E+00
1840,0.57270E-01,0.64720E+00
1850,0.57278E-01,0.64719E+00
1860,0.57305E-01,0.64715E+00
1870,0.57316E-01,0.64717E+00
1880,0.57359E-01,0.64712E+00
1890,0.57415E-01,0.64710E+00
1900,0.57430E-01,0.64710E+00
1910,0.57494E-01,0.64706E+00
1920,0.57564E-01,0.64701E+00
1930,0.57579E-01,0.64701E+00
1940,0.57653E-01,0.64694E+00
1950,0.57730E-01,0.64683E+00
1960,0.57745E-01,0.64683E+00
1970,0.57824E-01,0.64670E+00
1980,0.57905E-01,0.64656E+00
1990,0.57919E-01,0.64654E+00
2000,0.58002E-01,0.64640E+00
2010,0.59909E-01,0.64531E+00
2020,0.59919E-01,0.64535E+00
2030,0.61058E-01,0.64494E+00
2040,0.61548E-01,0.64463E+00
2050,0.61628E-01,0.64444E+00
2060,0.61609E-01,0.64433E+00
2070,0.61425E-01,0.64444E+00
2080,0.61405E-01,0.64447E+00
2090,0.61240E-01,0.64465E+00
2100,0.61164E-01,0.64485E+00
2110,0.61165E-01,0.64488E+00
2120,0.61162E-01,0.64510E+00
2130,0.61193E-01,0.64531E+00
2140,0.61203E-01,0.64533E+00
2150,0.61209E-01,0.64535E+00
2160,0.61247E-01,0.64560E+00
2170,0.61257E-01,0.64562E+00
2180,0.61286E-01,0.64579E+00
2190,0.61296E-01,0.64595E+00
2200,0.61301E-01,0.64597E+00
2210,0.61292E-01,0.64610E+00
2220,0.61269E-01,0.64624E+00
2230,0.61270E-01,0.64626E+00
2240,0.61237E-01,0.64638E+00
2250,0.61198E-01,0.64651E+00
2260,0.61197E-01,0.64653E+00
2270,0.61157E-01,0.64667E+00
2280,0.61117E-01,0.64683E+00
2290,0.61117E-01,0.64687E+00
2300,0.61083E-01,0.64706E+00
2310,0.61053E-01,0.64731E+00
2320,0.61054E-01,0.64735E+00
2330,0.61032E-01,0.64765E+00
2340,0.61014E-01,0.64799E+00
2350,0.61018E-01,0.64803E+00
2360,0.61008E-01,0.64838E+00
2370,0.61004E-01,0.64876E+00
2380,0.61009E-01,0.64879E+00
2390,0.61011E-01,0.64915E+00
2400,0.61016E-01,0.64949E+00
2410,0.61023E-01,0.64953E+00
2420,0.61033E-01,0.64979E+00
2430,0.61046E-01,0.65001E+00
2440,0.61054E-01,0.65003E+00
2450,0.61070E-01,0.65015E+00
2460,0.61089E-01,0.65024E+00
2470,0.61097E-01,0.65024E+00
2480,0.61118E-01,0.65026E+00
2490,0.61140E-01,0.65024E+00
2500,0.61149E-01,0.65022E+00
2510,0.61173E-01,0.65019E+00
2520,0.63163E-01,0.64931E+00
2530,0.63194E-01,0.64940E+00
2540,0.64256E-01,0.64906E+00
2550,0.64600E-01,0.64872E+00
2560,0.64655E-01,0.64858E+00
2570,0.64526E-01,0.64869E+00
2580,0.64274E-01,0.64887E+00
2590,0.64244E-01,0.64888E+00
2600,0.64053E-01,0.64920E+00
2610,0.63943E-01,0.64954E+00
2620,0.63937E-01,0.64962E+00
2630,0.63900E-01,0.64988E+00
2640,0.63894E-01,0.65012E+00
2650,0.63900E-01,0.65015E+00
2660,0.63900E-01,0.65017E+00
2670,0.63906E-01,0.65035E+00
2680,0.63912E-01,0.65038E+00
2690,0.63918E-01,0.65044E+00
2700,0.63912E-01,0.65044E+00
2710,0.63918E-01,0.65044E+00
2720,0.63906E-01,0.65038E+00
2730,0.63887E-01,0.65029E+00
2740,0.63887E-01,0.65028E+00
2750,0.63869E-01,0.65017E+00
2760,0.63844E-01,0.65004E+00
2770,0.63844E-01,0.65003E+00
2780,0.63826E-01,0.64990E+00
2790,0.63808E-01,0.64979E+00
2800,0.63808E-01,0.64979E+00
2810,0.63795E-01,0.64970E+00
2820,0.63783E-01,0.64965E+00
2830,0.63783E-01,0.64965E+00
2840,0.63777E-01,0.64962E+00
2850,0.63777E-01,0.64958E+00
2860,0.63777E-01,0.64958E+00
2870,0.63783E-01,0.64956E+00
2880,0.63783E-01,0.64951E+00
2890,0.63789E-01,0.64951E+00
2900,0.63795E-01,0.64944E+00
2910,0.63801E-01,0.64931E+00
