v1,v2,v3
1,0.70954E+00,0.43937E+01
10,0.80298E+00,0.59667E+01
20,0.69197E+00,0.58899E+01
30,0.48751E+00,0.46776E+01
40,0.35770E+00,0.37602E+01
50,0.27266E+00,0.30889E+01
60,0.22255E+00,0.26566E+01
70,0.16376E+00,0.21429E+01
80,0.11107E+00,0.17038E+01
90,0.90881E-01,0.14998E+01
100,0.89073E-01,0.15941E+01
110,0.92095E-01,0.17710E+01
120,0.74322E-01,0.23586E+01
130,0.71022E-01,0.23780E+01
140,0.68038E-01,0.26688E+01
150,0.67435E-01,0.28612E+01
160,0.70419E-01,0.29029E+01
170,0.66718E-01,0.29963E+01
180,0.63060E-01,0.30602E+01
190,0.63570E-01,0.30695E+01
200,0.61113E-01,0.31106E+01
210,0.59107E-01,0.31326E+01
220,0.59604E-01,0.31336E+01
230,0.58120E-01,0.31415E+01
240,0.56865E-01,0.31415E+01
250,0.57269E-01,0.31405E+01
260,0.56443E-01,0.31372E+01
270,0.55680E-01,0.31292E+01
280,0.56005E-01,0.31281E+01
290,0.55474E-01,0.31182E+01
300,0.54959E-01,0.31055E+01
310,0.55212E-01,0.31039E+01
320,0.54888E-01,0.30915E+01
330,0.54610E-01,0.30788E+01
340,0.54812E-01,0.30774E+01
350,0.54664E-01,0.30663E+01
360,0.54551E-01,0.30558E+01
370,0.54715E-01,0.30547E+01
380,0.54681E-01,0.30458E+01
390,0.54677E-01,0.30374E+01
400,0.54799E-01,0.30367E+01
410,0.54833E-01,0.30291E+01
420,0.54879E-01,0.30222E+01
430,0.54964E-01,0.30214E+01
440,0.55027E-01,0.30149E+01
450,0.55086E-01,0.30084E+01
460,0.55145E-01,0.30078E+01
470,0.55212E-01,0.30012E+01
480,0.55271E-01,0.29947E+01
490,0.55318E-01,0.29941E+01
500,0.55394E-01,0.29878E+01
510,0.55457E-01,0.29813E+01
520,0.55499E-01,0.29805E+01
530,0.55583E-01,0.29739E+01
540,0.55663E-01,0.29672E+01
550,0.55701E-01,0.29666E+01
560,0.55802E-01,0.29599E+01
570,0.55904E-01,0.29532E+01
580,0.55946E-01,0.29524E+01
590,0.56068E-01,0.29456E+01
600,0.56194E-01,0.29389E+01
610,0.56241E-01,0.29381E+01
620,0.56270E-01,0.29373E+01
630,0.56392E-01,0.29306E+01
640,0.56443E-01,0.29298E+01
650,0.56582E-01,0.29231E+01
660,0.56746E-01,0.29164E+01
670,0.56801E-01,0.29156E+01
680,0.56978E-01,0.29084E+01
690,0.57147E-01,0.29011E+01
700,0.57206E-01,0.29001E+01
710,0.57366E-01,0.28922E+01
720,0.57526E-01,0.28837E+01
730,0.57585E-01,0.28827E+01
740,0.57741E-01,0.28738E+01
750,0.57893E-01,0.28645E+01
760,0.57948E-01,0.28633E+01
770,0.58091E-01,0.28536E+01
780,0.58226E-01,0.28439E+01
790,0.58276E-01,0.28428E+01
800,0.58390E-01,0.28331E+01
810,0.58496E-01,0.28236E+01
820,0.58542E-01,0.28224E+01
830,0.58609E-01,0.28131E+01
840,0.58656E-01,0.28042E+01
850,0.58694E-01,0.28030E+01
860,0.58706E-01,0.27945E+01
870,0.58702E-01,0.27864E+01
880,0.58736E-01,0.27856E+01
890,0.58715E-01,0.27783E+01
900,0.58702E-01,0.27717E+01
910,0.58727E-01,0.27711E+01
920,0.58715E-01,0.27654E+01
930,0.58723E-01,0.27606E+01
940,0.58753E-01,0.27601E+01
950,0.58770E-01,0.27561E+01
960,0.58803E-01,0.27525E+01
970,0.58829E-01,0.27523E+01
980,0.58866E-01,0.27492E+01
990,0.58909E-01,0.27462E+01
1000,0.58934E-01,0.27458E+01
1010,0.58972E-01,0.27428E+01
1020,0.59014E-01,0.27399E+01
1030,0.59039E-01,0.27395E+01
1040,0.59073E-01,0.27363E+01
1050,0.59111E-01,0.27329E+01
1060,0.59132E-01,0.27326E+01
1070,0.59162E-01,0.27288E+01
1080,0.59195E-01,0.27252E+01
1090,0.59216E-01,0.27248E+01
1100,0.59237E-01,0.27209E+01
1110,0.59263E-01,0.27171E+01
1120,0.59280E-01,0.27167E+01
1130,0.59305E-01,0.27163E+01
1140,0.59296E-01,0.27124E+01
1150,0.59313E-01,0.27120E+01
1160,0.59317E-01,0.27080E+01
1170,0.59326E-01,0.27045E+01
1180,0.59339E-01,0.27041E+01
1190,0.59343E-01,0.27005E+01
1200,0.59347E-01,0.26971E+01
1210,0.59360E-01,0.26967E+01
1220,0.59360E-01,0.26936E+01
1230,0.59360E-01,0.26908E+01
1240,0.59368E-01,0.26904E+01
1250,0.59364E-01,0.26878E+01
1260,0.59351E-01,0.26855E+01
1270,0.59360E-01,0.26851E+01
1280,0.59343E-01,0.26829E+01
1290,0.59322E-01,0.26811E+01
1300,0.59326E-01,0.26809E+01
1310,0.59305E-01,0.26793E+01
1320,0.59280E-01,0.26779E+01
1330,0.59288E-01,0.26779E+01
1340,0.59263E-01,0.26770E+01
1350,0.59242E-01,0.26762E+01
1360,0.59246E-01,0.26762E+01
1370,0.59225E-01,0.26758E+01
1380,0.59204E-01,0.26756E+01
1390,0.59208E-01,0.26756E+01
1400,0.59191E-01,0.26756E+01
1410,0.59174E-01,0.26758E+01
1420,0.59174E-01,0.26758E+01
1430,0.59166E-01,0.26762E+01
1440,0.59153E-01,0.26766E+01
1450,0.59153E-01,0.26768E+01
1460,0.59145E-01,0.26772E+01
1470,0.59132E-01,0.26777E+01
1480,0.59132E-01,0.26777E+01
1490,0.59124E-01,0.26781E+01
1500,0.59111E-01,0.26787E+01
1510,0.59111E-01,0.26787E+01
1520,0.59103E-01,0.26789E+01
1530,0.59090E-01,0.26793E+01
1540,0.59090E-01,0.26793E+01
1550,0.59073E-01,0.26795E+01
1560,0.59060E-01,0.26797E+01
1570,0.59060E-01,0.26797E+01
1580,0.59043E-01,0.26797E+01
1590,0.59027E-01,0.26799E+01
1600,0.59027E-01,0.26799E+01
1610,0.59010E-01,0.26799E+01
1620,0.58993E-01,0.26799E+01
1630,0.58993E-01,0.26797E+01
1640,0.58997E-01,0.26799E+01
1650,0.58972E-01,0.26797E+01
1660,0.58972E-01,0.26797E+01
1670,0.58955E-01,0.26797E+01
1680,0.58938E-01,0.26797E+01
1690,0.58934E-01,0.26797E+01
1700,0.58917E-01,0.26795E+01
1710,0.58896E-01,0.26795E+01
1720,0.58896E-01,0.26795E+01
1730,0.58879E-01,0.26795E+01
1740,0.58862E-01,0.26795E+01
1750,0.58862E-01,0.26795E+01
1760,0.58845E-01,0.26795E+01
1770,0.58829E-01,0.26795E+01
1780,0.58829E-01,0.26795E+01
1790,0.58812E-01,0.26795E+01
1800,0.58795E-01,0.26797E+01
1810,0.58795E-01,0.26797E+01
1820,0.58778E-01,0.26797E+01
1830,0.58765E-01,0.26799E+01
1840,0.58765E-01,0.26799E+01
1850,0.58753E-01,0.26801E+01
1860,0.58740E-01,0.26803E+01
1870,0.58736E-01,0.26803E+01
1880,0.58723E-01,0.26803E+01
1890,0.58715E-01,0.26807E+01
1900,0.58711E-01,0.26807E+01
1910,0.58702E-01,0.26809E+01
1920,0.58689E-01,0.26811E+01
1930,0.58689E-01,0.26811E+01
1940,0.58681E-01,0.26813E+01
1950,0.58673E-01,0.26815E+01
1960,0.58668E-01,0.26815E+01
1970,0.58660E-01,0.26817E+01
1980,0.58656E-01,0.26819E+01
1990,0.58652E-01,0.26819E+01
2000,0.58647E-01,0.26821E+01
2010,0.58639E-01,0.26825E+01
2020,0.58639E-01,0.26825E+01
2030,0.58635E-01,0.26827E+01
2040,0.58626E-01,0.26829E+01
2050,0.58626E-01,0.26829E+01
2060,0.58622E-01,0.26831E+01
2070,0.58618E-01,0.26833E+01
2080,0.58614E-01,0.26833E+01
2090,0.58614E-01,0.26835E+01
2100,0.58609E-01,0.26837E+01
2110,0.58609E-01,0.26837E+01
2120,0.58605E-01,0.26839E+01
2130,0.58601E-01,0.26841E+01
2140,0.58601E-01,0.26841E+01
2150,0.58605E-01,0.26841E+01
2160,0.58597E-01,0.26843E+01
2170,0.58597E-01,0.26843E+01
2180,0.58597E-01,0.26845E+01
2190,0.58593E-01,0.26845E+01
2200,0.58593E-01,0.26845E+01
2210,0.58593E-01,0.26847E+01
2220,0.58593E-01,0.26847E+01
2230,0.58593E-01,0.26847E+01
2240,0.58588E-01,0.26849E+01
2250,0.58588E-01,0.26849E+01
2260,0.58588E-01,0.26849E+01
2270,0.58588E-01,0.26851E+01
2280,0.58588E-01,0.26851E+01
2290,0.58588E-01,0.26851E+01
2300,0.58588E-01,0.26851E+01
2310,0.58588E-01,0.26853E+01
2320,0.58588E-01,0.26853E+01
2330,0.58588E-01,0.26853E+01
2340,0.58593E-01,0.26853E+01
2350,0.58593E-01,0.26853E+01
2360,0.58593E-01,0.26853E+01
2370,0.58593E-01,0.26853E+01
2380,0.58593E-01,0.26853E+01
2390,0.58593E-01,0.26855E+01
2400,0.58597E-01,0.26855E+01
2410,0.58597E-01,0.26855E+01
2420,0.58597E-01,0.26855E+01
2430,0.58601E-01,0.26855E+01
2440,0.58601E-01,0.26855E+01
2450,0.58601E-01,0.26853E+01
2460,0.58601E-01,0.26853E+01
2470,0.58605E-01,0.26853E+01
2480,0.58605E-01,0.26853E+01
2490,0.58609E-01,0.26853E+01
2500,0.58609E-01,0.26853E+01
2510,0.58609E-01,0.26853E+01
2520,0.58614E-01,0.26853E+01
2530,0.58614E-01,0.26853E+01
2540,0.58614E-01,0.26851E+01
2550,0.58618E-01,0.26851E+01
2560,0.58618E-01,0.26851E+01
2570,0.58618E-01,0.26851E+01
2580,0.58622E-01,0.26851E+01
2590,0.58622E-01,0.26849E+01
2600,0.58622E-01,0.26849E+01
2610,0.58626E-01,0.26849E+01
2620,0.58626E-01,0.26849E+01
2630,0.58630E-01,0.26847E+01
2640,0.58630E-01,0.26847E+01
2650,0.58630E-01,0.26847E+01
2660,0.58635E-01,0.26847E+01
2670,0.58635E-01,0.26847E+01
2680,0.58635E-01,0.26847E+01
2690,0.58635E-01,0.26845E+01
2700,0.58639E-01,0.26845E+01
2710,0.58639E-01,0.26845E+01
2720,0.58639E-01,0.26845E+01
2730,0.58643E-01,0.26843E+01
2740,0.58643E-01,0.26843E+01
2750,0.58643E-01,0.26843E+01
2760,0.58647E-01,0.26843E+01
2770,0.58647E-01,0.26841E+01
2780,0.58652E-01,0.26841E+01
2790,0.58652E-01,0.26841E+01
2800,0.58652E-01,0.26841E+01
2810,0.58656E-01,0.26839E+01
2820,0.58656E-01,0.26839E+01
2830,0.58656E-01,0.26839E+01
2840,0.58660E-01,0.26837E+01
2850,0.58660E-01,0.26837E+01
2860,0.58660E-01,0.26837E+01
2870,0.58664E-01,0.26837E+01
2880,0.58664E-01,0.26835E+01
2890,0.58664E-01,0.26835E+01
2900,0.58668E-01,0.26835E+01
2910,0.58668E-01,0.26833E+01
2920,0.58668E-01,0.26833E+01
2930,0.58673E-01,0.26833E+01
2940,0.58673E-01,0.26831E+01
2950,0.58673E-01,0.26831E+01
2960,0.58677E-01,0.26831E+01
2970,0.58677E-01,0.26831E+01
2980,0.58677E-01,0.26829E+01
2990,0.58681E-01,0.26829E+01
3000,0.58681E-01,0.26829E+01
3010,0.58681E-01,0.26829E+01
3020,0.58681E-01,0.26827E+01
3030,0.58685E-01,0.26827E+01
3040,0.58685E-01,0.26827E+01
3050,0.58685E-01,0.26825E+01
3060,0.58689E-01,0.26825E+01
3070,0.58689E-01,0.26825E+01
3080,0.58689E-01,0.26823E+01
3090,0.58694E-01,0.26823E+01
3100,0.58689E-01,0.26823E+01
3110,0.58694E-01,0.26823E+01
3120,0.58694E-01,0.26821E+01
3130,0.58694E-01,0.26821E+01
3140,0.58698E-01,0.26821E+01
3150,0.58698E-01,0.26819E+01
3160,0.58698E-01,0.26819E+01
3170,0.58702E-01,0.26819E+01
3180,0.58702E-01,0.26819E+01
3190,0.58702E-01,0.26819E+01
3200,0.58702E-01,0.26817E+01
3210,0.58702E-01,0.26817E+01
3220,0.58702E-01,0.26817E+01
3230,0.58702E-01,0.26817E+01
3240,0.58706E-01,0.26815E+01
3250,0.58706E-01,0.26815E+01
3260,0.58706E-01,0.26815E+01
3270,0.58706E-01,0.26815E+01
3280,0.58706E-01,0.26813E+01
3290,0.58711E-01,0.26813E+01
3300,0.58711E-01,0.26813E+01
3310,0.58711E-01,0.26813E+01
3320,0.58711E-01,0.26811E+01
3330,0.58715E-01,0.26811E+01
3340,0.58711E-01,0.26811E+01
3350,0.58715E-01,0.26811E+01
3360,0.58715E-01,0.26809E+01
3370,0.58715E-01,0.26809E+01
3380,0.58715E-01,0.26809E+01
3390,0.58719E-01,0.26809E+01
3400,0.58719E-01,0.26809E+01
3410,0.58719E-01,0.26807E+01
3420,0.58719E-01,0.26807E+01
3430,0.58719E-01,0.26807E+01
3440,0.58719E-01,0.26805E+01
3450,0.58719E-01,0.26805E+01
3460,0.58719E-01,0.26805E+01
3470,0.58719E-01,0.26805E+01
3480,0.58723E-01,0.26805E+01
3490,0.58723E-01,0.26803E+01
3500,0.58723E-01,0.26803E+01
3510,0.58723E-01,0.26803E+01
3520,0.58723E-01,0.26803E+01
3530,0.58723E-01,0.26803E+01
3540,0.58723E-01,0.26801E+01
