v1,v2,v3
1,0.27022E+00,0.51123E+00
10,0.35808E+00,0.69153E+00
20,0.36027E+00,0.72559E+00
30,0.35255E+00,0.73526E+00
40,0.33435E+00,0.73516E+00
50,0.30468E+00,0.72616E+00
60,0.26830E+00,0.70987E+00
70,0.23377E+00,0.68876E+00
80,0.20570E+00,0.65466E+00
90,0.18987E+00,0.62033E+00
100,0.18309E+00,0.58841E+00
110,0.18118E+00,0.56584E+00
120,0.16550E+00,0.52063E+00
130,0.16374E+00,0.50948E+00
140,0.14508E+00,0.46501E+00
150,0.12970E+00,0.43138E+00
160,0.12873E+00,0.42877E+00
170,0.11833E+00,0.40475E+00
180,0.11142E+00,0.38939E+00
190,0.11113E+00,0.38842E+00
200,0.10685E+00,0.38067E+00
210,0.10427E+00,0.37936E+00
220,0.10417E+00,0.37902E+00
230,0.10258E+00,0.38034E+00
240,0.10152E+00,0.38406E+00
250,0.10151E+00,0.38383E+00
260,0.10061E+00,0.38785E+00
270,0.99991E-01,0.39275E+00
280,0.99876E-01,0.39273E+00
290,0.99133E-01,0.39721E+00
300,0.98240E-01,0.40106E+00
310,0.97866E-01,0.40089E+00
320,0.97046E-01,0.40342E+00
330,0.96298E-01,0.40505E+00
340,0.96155E-01,0.40473E+00
350,0.95503E-01,0.40496E+00
360,0.94561E-01,0.40431E+00
370,0.94313E-01,0.40393E+00
380,0.93077E-01,0.40299E+00
390,0.92047E-01,0.40263E+00
400,0.91820E-01,0.40255E+00
410,0.91704E-01,0.40330E+00
420,0.92183E-01,0.40473E+00
430,0.92257E-01,0.40475E+00
440,0.92431E-01,0.40571E+00
450,0.92015E-01,0.40544E+00
460,0.91932E-01,0.40510E+00
470,0.91093E-01,0.40312E+00
480,0.90151E-01,0.40009E+00
490,0.90060E-01,0.39961E+00
500,0.89236E-01,0.39613E+00
510,0.88629E-01,0.39287E+00
520,0.88585E-01,0.39241E+00
530,0.88309E-01,0.38999E+00
540,0.88325E-01,0.38872E+00
550,0.88386E-01,0.38860E+00
560,0.88773E-01,0.38884E+00
570,0.89377E-01,0.39008E+00
580,0.89526E-01,0.39033E+00
590,0.90273E-01,0.39225E+00
600,0.91010E-01,0.39446E+00
610,0.91164E-01,0.39474E+00
620,0.91309E-01,0.39508E+00
630,0.91885E-01,0.39730E+00
640,0.92028E-01,0.39761E+00
650,0.92339E-01,0.39893E+00
660,0.92433E-01,0.39967E+00
670,0.92494E-01,0.39972E+00
680,0.92344E-01,0.39946E+00
690,0.91969E-01,0.39798E+00
700,0.91964E-01,0.39774E+00
710,0.91331E-01,0.39470E+00
720,0.90539E-01,0.39056E+00
730,0.90475E-01,0.38998E+00
740,0.89617E-01,0.38522E+00
750,0.88829E-01,0.38057E+00
760,0.88758E-01,0.37995E+00
770,0.88124E-01,0.37589E+00
780,0.87532E-01,0.37212E+00
790,0.87485E-01,0.37166E+00
800,0.86822E-01,0.36792E+00
810,0.86081E-01,0.36421E+00
820,0.86021E-01,0.36379E+00
830,0.85243E-01,0.36030E+00
840,0.84492E-01,0.35727E+00
850,0.84441E-01,0.35698E+00
860,0.83764E-01,0.35453E+00
870,0.83190E-01,0.35270E+00
880,0.83157E-01,0.35256E+00
890,0.82698E-01,0.35132E+00
900,0.82353E-01,0.35060E+00
910,0.82342E-01,0.35058E+00
920,0.82104E-01,0.35025E+00
930,0.81966E-01,0.35027E+00
940,0.81973E-01,0.35032E+00
950,0.81919E-01,0.35053E+00
960,0.81928E-01,0.35092E+00
970,0.81945E-01,0.35102E+00
980,0.82008E-01,0.35148E+00
990,0.82118E-01,0.35206E+00
1000,0.82136E-01,0.35216E+00
1010,0.82277E-01,0.35282E+00
1020,0.89637E-01,0.34991E+00
1030,0.89597E-01,0.35047E+00
1040,0.99626E-01,0.34729E+00
1050,0.10595E+00,0.34483E+00
1060,0.10700E+00,0.34454E+00
1070,0.10797E+00,0.34362E+00
1080,0.10696E+00,0.34311E+00
1090,0.10674E+00,0.34300E+00
1100,0.10593E+00,0.34281E+00
1110,0.10568E+00,0.34308E+00
1120,0.10572E+00,0.34314E+00
1130,0.10579E+00,0.34322E+00
1140,0.10604E+00,0.34365E+00
1150,0.10605E+00,0.34368E+00
1160,0.10657E+00,0.34428E+00
1170,0.10725E+00,0.34490E+00
1180,0.10732E+00,0.34495E+00
1190,0.10801E+00,0.34564E+00
1200,0.10864E+00,0.34632E+00
1210,0.10869E+00,0.34640E+00
1220,0.10917E+00,0.34696E+00
1230,0.10951E+00,0.34729E+00
1240,0.10955E+00,0.34734E+00
1250,0.10974E+00,0.34740E+00
1260,0.10983E+00,0.34722E+00
1270,0.10985E+00,0.34722E+00
1280,0.10986E+00,0.34685E+00
1290,0.10984E+00,0.34638E+00
1300,0.10986E+00,0.34636E+00
1310,0.10984E+00,0.34589E+00
1320,0.10985E+00,0.34552E+00
1330,0.10987E+00,0.34550E+00
1340,0.10994E+00,0.34531E+00
1350,0.11008E+00,0.34536E+00
1360,0.11011E+00,0.34537E+00
1370,0.11034E+00,0.34572E+00
1380,0.11064E+00,0.34632E+00
1390,0.11068E+00,0.34637E+00
1400,0.11106E+00,0.34721E+00
1410,0.11147E+00,0.34818E+00
1420,0.11153E+00,0.34825E+00
1430,0.11196E+00,0.34928E+00
1440,0.11238E+00,0.35026E+00
1450,0.11244E+00,0.35033E+00
1460,0.11282E+00,0.35119E+00
1470,0.11314E+00,0.35185E+00
1480,0.11318E+00,0.35189E+00
1490,0.11343E+00,0.35234E+00
1500,0.11358E+00,0.35257E+00
1510,0.11360E+00,0.35256E+00
1520,0.11596E+00,0.35160E+00
1530,0.11705E+00,0.35047E+00
1540,0.11718E+00,0.35034E+00
1550,0.11723E+00,0.34956E+00
1560,0.11667E+00,0.34912E+00
1570,0.11663E+00,0.34908E+00
1580,0.11583E+00,0.34873E+00
1590,0.11511E+00,0.34830E+00
1600,0.11504E+00,0.34823E+00
1610,0.11447E+00,0.34770E+00
1620,0.11401E+00,0.34710E+00
1630,0.11397E+00,0.34704E+00
1640,0.11391E+00,0.34698E+00
1650,0.11352E+00,0.34639E+00
1660,0.11348E+00,0.34634E+00
1670,0.11312E+00,0.34577E+00
1680,0.11278E+00,0.34526E+00
1690,0.11274E+00,0.34522E+00
1700,0.11241E+00,0.34481E+00
1710,0.11209E+00,0.34453E+00
1720,0.11205E+00,0.34452E+00
1730,0.11177E+00,0.34437E+00
1740,0.11153E+00,0.34435E+00
1750,0.11151E+00,0.34438E+00
1760,0.11133E+00,0.34449E+00
1770,0.11121E+00,0.34473E+00
1780,0.11120E+00,0.34478E+00
1790,0.11114E+00,0.34510E+00
1800,0.11114E+00,0.34551E+00
1810,0.11115E+00,0.34558E+00
1820,0.11121E+00,0.34604E+00
1830,0.11131E+00,0.34655E+00
1840,0.11133E+00,0.34662E+00
1850,0.11146E+00,0.34714E+00
1860,0.11162E+00,0.34769E+00
1870,0.11165E+00,0.34776E+00
1880,0.11183E+00,0.34833E+00
1890,0.11203E+00,0.34893E+00
1900,0.11206E+00,0.34900E+00
1910,0.11228E+00,0.34964E+00
1920,0.11252E+00,0.35032E+00
1930,0.11255E+00,0.35040E+00
1940,0.11281E+00,0.35112E+00
1950,0.11308E+00,0.35187E+00
1960,0.11312E+00,0.35195E+00
1970,0.11340E+00,0.35273E+00
1980,0.11369E+00,0.35348E+00
1990,0.11373E+00,0.35356E+00
2000,0.11402E+00,0.35424E+00
2010,0.11631E+00,0.35404E+00
2020,0.11635E+00,0.35403E+00
2030,0.11773E+00,0.35360E+00
2040,0.11827E+00,0.35345E+00
2050,0.11835E+00,0.35338E+00
2060,0.11828E+00,0.35344E+00
2070,0.11801E+00,0.35356E+00
2080,0.11798E+00,0.35357E+00
2090,0.11775E+00,0.35358E+00
2100,0.11762E+00,0.35341E+00
2110,0.11762E+00,0.35338E+00
2120,0.11758E+00,0.35305E+00
2130,0.11757E+00,0.35263E+00
2140,0.11759E+00,0.35258E+00
2150,0.11760E+00,0.35251E+00
2160,0.11758E+00,0.35202E+00
2170,0.11759E+00,0.35196E+00
2180,0.11755E+00,0.35150E+00
2190,0.11749E+00,0.35104E+00
2200,0.11749E+00,0.35100E+00
2210,0.11741E+00,0.35059E+00
2220,0.11730E+00,0.35022E+00
2230,0.11729E+00,0.35019E+00
2240,0.11717E+00,0.34988E+00
2250,0.11704E+00,0.34962E+00
2260,0.11704E+00,0.34959E+00
2270,0.11691E+00,0.34939E+00
2280,0.11679E+00,0.34925E+00
2290,0.11678E+00,0.34924E+00
2300,0.11667E+00,0.34915E+00
2310,0.11658E+00,0.34911E+00
2320,0.11657E+00,0.34912E+00
2330,0.11650E+00,0.34913E+00
2340,0.11643E+00,0.34919E+00
2350,0.11643E+00,0.34920E+00
2360,0.11639E+00,0.34931E+00
2370,0.11636E+00,0.34947E+00
2380,0.11636E+00,0.34949E+00
2390,0.11636E+00,0.34970E+00
2400,0.11636E+00,0.34995E+00
2410,0.11637E+00,0.34998E+00
2420,0.11640E+00,0.35027E+00
2430,0.11644E+00,0.35062E+00
2440,0.11645E+00,0.35065E+00
2450,0.11652E+00,0.35103E+00
2460,0.11659E+00,0.35144E+00
2470,0.11661E+00,0.35149E+00
2480,0.11670E+00,0.35190E+00
2490,0.11679E+00,0.35234E+00
2500,0.11681E+00,0.35238E+00
2510,0.11691E+00,0.35281E+00
2520,0.11916E+00,0.35234E+00
2530,0.11921E+00,0.35234E+00
2540,0.12039E+00,0.35186E+00
2550,0.12070E+00,0.35174E+00
2560,0.12075E+00,0.35167E+00
2570,0.12052E+00,0.35188E+00
2580,0.12018E+00,0.35219E+00
2590,0.12013E+00,0.35221E+00
2600,0.11988E+00,0.35248E+00
2610,0.11976E+00,0.35263E+00
2620,0.11976E+00,0.35265E+00
2630,0.11972E+00,0.35268E+00
2640,0.11973E+00,0.35263E+00
2650,0.11974E+00,0.35263E+00
2660,0.11976E+00,0.35263E+00
2670,0.11978E+00,0.35251E+00
2680,0.11979E+00,0.35250E+00
2690,0.11981E+00,0.35238E+00
2700,0.11982E+00,0.35225E+00
2710,0.11983E+00,0.35224E+00
2720,0.11982E+00,0.35210E+00
2730,0.11980E+00,0.35196E+00
2740,0.11980E+00,0.35194E+00
2750,0.11976E+00,0.35180E+00
2760,0.11971E+00,0.35165E+00
2770,0.11972E+00,0.35163E+00
2780,0.11966E+00,0.35149E+00
2790,0.11961E+00,0.35133E+00
2800,0.11961E+00,0.35131E+00
2810,0.11955E+00,0.35116E+00
2820,0.11950E+00,0.35100E+00
2830,0.11950E+00,0.35099E+00
2840,0.11945E+00,0.35085E+00
2850,0.11940E+00,0.35072E+00
2860,0.11940E+00,0.35071E+00
2870,0.11936E+00,0.35060E+00
2880,0.11932E+00,0.35053E+00
2890,0.11933E+00,0.35052E+00
2900,0.11931E+00,0.35048E+00
2910,0.11930E+00,0.35047E+00
2920,0.11931E+00,0.35047E+00
2930,0.11932E+00,0.35051E+00
2940,0.11934E+00,0.35058E+00
2950,0.11935E+00,0.35058E+00
2960,0.11938E+00,0.35068E+00
2970,0.11943E+00,0.35080E+00
2980,0.11944E+00,0.35081E+00
2990,0.11950E+00,0.35093E+00
3000,0.11955E+00,0.35105E+00
3010,0.57862E-01,0.16989E+00
3020,0.59010E-01,0.16986E+00
3030,0.61926E-01,0.17613E+00
3040,0.62216E-01,0.17684E+00
3050,0.64827E-01,0.18559E+00
3060,0.65591E-01,0.19065E+00
3070,0.65656E-01,0.19110E+00
3080,0.64994E-01,0.19166E+00
3090,0.64068E-01,0.19022E+00
3100,0.63978E-01,0.19010E+00
3110,0.63296E-01,0.18814E+00
3120,0.62825E-01,0.18640E+00
3130,0.62774E-01,0.18624E+00
3140,0.62277E-01,0.18472E+00
3150,0.61603E-01,0.18329E+00
3160,0.61525E-01,0.18315E+00
3170,0.61437E-01,0.18300E+00
3180,0.60609E-01,0.18158E+00
3190,0.60519E-01,0.18144E+00
3200,0.59754E-01,0.18022E+00
3210,0.59167E-01,0.17940E+00
3220,0.59102E-01,0.17932E+00
3230,0.58713E-01,0.17900E+00
3240,0.58418E-01,0.17901E+00
3250,0.58389E-01,0.17904E+00
3260,0.58128E-01,0.17924E+00
3270,0.57845E-01,0.17946E+00
3280,0.57824E-01,0.17954E+00
3290,0.57506E-01,0.17965E+00
3300,0.57151E-01,0.17961E+00
3310,0.57126E-01,0.17968E+00
3320,0.56739E-01,0.17944E+00
3330,0.56333E-01,0.17904E+00
3340,0.56302E-01,0.17907E+00
3350,0.55898E-01,0.17851E+00
3360,0.55514E-01,0.17786E+00
3370,0.55484E-01,0.17785E+00
3380,0.55140E-01,0.17715E+00
3390,0.54843E-01,0.17642E+00
3400,0.54821E-01,0.17641E+00
3410,0.54580E-01,0.17565E+00
3420,0.54388E-01,0.17487E+00
3430,0.54375E-01,0.17485E+00
3440,0.54235E-01,0.17400E+00
3450,0.54138E-01,0.17310E+00
3460,0.54137E-01,0.17306E+00
3470,0.54086E-01,0.17209E+00
3480,0.54078E-01,0.17110E+00
3490,0.54085E-01,0.17104E+00
3500,0.54126E-01,0.17004E+00
3510,0.54211E-01,0.16906E+00
3520,0.54229E-01,0.16899E+00
3530,0.54365E-01,0.16805E+00
3540,0.54547E-01,0.16719E+00
3550,0.54574E-01,0.16712E+00
3560,0.54804E-01,0.16635E+00
3570,0.55076E-01,0.16569E+00
3580,0.55109E-01,0.16562E+00
3590,0.55418E-01,0.16507E+00
3600,0.55753E-01,0.16463E+00
3610,0.55793E-01,0.16458E+00
3620,0.56147E-01,0.16425E+00
3630,0.56508E-01,0.16400E+00
3640,0.56549E-01,0.16397E+00
3650,0.56910E-01,0.16379E+00
3660,0.57264E-01,0.16368E+00
3670,0.57301E-01,0.16365E+00
3680,0.57346E-01,0.16362E+00
3690,0.57691E-01,0.16358E+00
3700,0.57726E-01,0.16354E+00
3710,0.58044E-01,0.16358E+00
3720,0.58338E-01,0.16369E+00
3730,0.58368E-01,0.16367E+00
3740,0.58630E-01,0.16386E+00
3750,0.58864E-01,0.16413E+00
3760,0.58886E-01,0.16413E+00
3770,0.59088E-01,0.16453E+00
3780,0.59261E-01,0.16504E+00
3790,0.59276E-01,0.16506E+00
3800,0.59420E-01,0.16568E+00
3810,0.59538E-01,0.16641E+00
3820,0.59549E-01,0.16646E+00
3830,0.59643E-01,0.16729E+00
3840,0.59719E-01,0.16819E+00
3850,0.59725E-01,0.16827E+00
3860,0.59779E-01,0.16923E+00
